,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,Diabetes,Poverty,LC
2949,VA,Waynesboro City,"22,327","5,242","4,048",416,"1,498","1,237","1,586","1,897","3,282",12
2950,VA,Williamsburg City,"15,031","1,689","2,294",134,"1,179",789,937,"1,118","2,396",8
2951,VA,Winchester City,"27,932","6,359","4,307",505,"1,903","1,481","1,841","2,236","3,395",15
2952,WA,Adams County,"19,506","6,904","2,126",504,"1,342",681,873,"1,071","3,040",10
2953,WA,Asotin County,"22,535","4,613","5,078",337,"1,855","1,178","1,674","1,908","2,867",11
2954,WA,Benton County,"198,171","53,089","28,617","3,880","15,344","8,366","11,057","13,293","23,587",105
2955,WA,Chelan County,"76,533","18,277","14,061","1,336","6,095","3,594","4,945","5,770","10,059",40
2956,WA,Clallam County,"75,474","13,094","21,730",957,"6,363","4,364","6,486","7,125","12,090",40
2957,WA,Clark County,"474,643","115,420","70,927","8,436","37,970","21,017","27,769","33,474","48,088",252
2958,WA,Columbia County,"4,047",762,"1,129",55,335,231,342,377,537,2
2959,WA,Cowlitz County,"106,910","24,506","19,949","1,791","8,616","5,147","7,080","8,278","17,302",56
2960,WA,Douglas County,"41,945","10,863","7,205",794,"3,260","1,879","2,565","3,007","5,578",22
2961,WA,Ferry County,"7,594","1,313","1,997",95,644,434,631,707,"1,297",4
2962,WA,Franklin County,"92,125","29,968","8,239","2,190","6,683","3,122","3,826","4,843","11,904",49
2963,WA,Garfield County,"2,210",446,578,32,180,123,180,201,305,1
2964,WA,Grant County,"95,158","28,251","12,871","2,065","7,088","3,778","4,971","5,981","13,838",50
2965,WA,Grays Harbor County,"72,697","14,939","15,209","1,092","6,008","3,722","5,206","6,012","12,780",38
2966,WA,Island County,"83,159","15,225","19,806","1,112","7,031","4,362","6,257","7,039","7,467",44
2967,WA,Jefferson County,"31,234","3,833","11,109",280,"2,753","2,080","3,182","3,430","3,886",16
2968,WA,King County,"2,188,649","447,350","283,909","32,700","185,713","94,736","120,715","149,098","200,415","1,166"
2969,WA,Kitsap County,"266,414","54,934","46,087","4,015","22,258","12,559","16,932","20,045","21,357",142
2970,WA,Kittitas County,"46,205","7,948","7,262",580,"4,060","2,081","2,733","3,273","6,185",24
2971,WA,Klickitat County,"21,811","4,228","5,063",309,"1,817","1,178","1,676","1,913","3,139",11
2972,WA,Lewis County,"78,200","16,863","16,167","1,232","6,382","3,923","5,493","6,331","11,610",41
2973,WA,Lincoln County,"10,579","2,294","2,661",167,849,576,839,940,"1,322",5
2974,WA,Mason County,"63,710","12,342","14,391",902,"5,322","3,376","4,783","5,468","8,825",34
2975,WA,Okanogan County,"41,742","9,696","8,840",708,"3,324","2,089","2,952","3,381","8,415",22
2976,WA,Pacific County,"21,626","3,549","6,430",259,"1,838","1,302","1,938","2,134","3,612",11
2977,WA,Pend Oreille County,"13,354","2,562","3,382",187,"1,107",756,"1,093","1,235","2,153",7
2978,WA,Pierce County,"876,764","206,931","117,898","15,126","71,199","37,482","48,455","59,270","87,596",467
2979,WA,San Juan County,"16,715","2,190","5,469",160,"1,469","1,079","1,624","1,776","1,697",8
